ticker,price
AHFT,"$6,766.99"
PACG,"$6,020.19"
SSKL,"$2,781.91"
TEKH,"$2,153.14"
CJJIG,$434.51
NZJOV,"$6,185.20"
PSBFH,$797.93
WJLV,"$1,626.55"
FGYQP,"$1,711.39"
EJZQ,"$5,569.50"
VUFAI,"$2,677.41"
XOSF,"$4,992.31"
DDTOT,"$4,284.34"
JZDMT,"$8,611.02"
QUKB,"$3,816.20"
NZWAS,"$6,817.10"
TIHEA,"$7,220.92"
ZTNCQ,"$8,416.69"
DTOU,"$5,303.54"
PMCJ,"$9,853.20"
GGOCT,"$8,160.23"
DMOG,"$8,724.32"
ZYTRS,"$3,989.93"
LNDFI,"$5,883.09"
PASB,$674.01
WBGR,"$2,142.37"
SWOG,"$4,729.73"
ECLLM,"$7,290.75"
BSUC,"$1,915.91"
DEMWB,"$8,080.22"
BZVZ,"$9,263.66"
EMFK,$586.36
AKYUH,"$6,965.91"
EHZPO,"$7,479.75"
BMXN,$568.80
WBBW,"$4,037.76"
PBCR,"$5,652.27"
YFSGK,"$6,716.90"
LYYAQ,"$5,629.94"
BFGY,"$8,808.63"
JEVS,"$6,116.78"
ROYC,"$8,781.26"
DCOHP,"$7,176.12"
RWNG,"$9,081.58"
CLHA,"$7,711.19"
ELSOC,"$9,450.50"
OVPD,"$1,274.46"
JYZBJ,"$6,820.66"
JOWZ,"$7,494.77"
WZVW,$247.87
UKRTG,"$1,591.99"
JBMF,"$9,184.51"
HUFAF,"$3,282.62"
ZHQK,"$9,811.49"
YCZEZ,"$2,654.67"
PIUL,"$9,842.35"
KOGS,$16.92
JBRI,"$3,139.16"
SHIK,"$4,024.01"
OERJT,"$1,740.28"
KVHFU,"$6,066.61"
MLFMX,"$7,960.24"
RHRQ,$933.88
RFFA,"$2,448.43"
PTLXO,"$7,183.45"
MGRAT,"$7,700.46"
UFUS,"$4,645.50"
XDDM,"$5,311.32"
YXPSN,"$8,305.69"
XTMGG,"$6,376.61"
QHCHH,"$3,197.10"
DGSS,$642.30
IMBVK,"$7,697.95"
WTJA,"$3,517.59"
WYKTO,"$6,032.52"
MHMK,"$6,688.73"
SVXZN,"$9,069.28"
CLWE,"$2,601.57"
FITJT,"$8,319.24"
VMTBY,"$2,242.23"
UQTY,"$1,993.61"
QGMC,"$9,477.56"
STEPT,"$1,145.34"
ZCAI,"$6,773.47"
KSBRQ,"$1,019.02"
WPDZU,"$3,472.04"
RBQAK,"$4,902.02"
YQVSL,"$7,337.95"
QXUMV,"$5,924.74"
WVCWG,"$4,647.09"
IMIMJ,"$2,583.53"
WSHAY,$856.14
MTRQM,"$7,929.32"
HKGR,"$3,690.21"
LTISH,"$2,514.04"
SITY,"$6,901.63"
FMSZ,"$5,246.37"
ZVHJH,"$7,080.18"
HZOS,"$1,262.80"
CAHMI,"$9,654.97"
YMVKB,"$6,294.45"
DVYC,"$2,481.91"
PUFNL,"$4,427.21"
HQPTY,"$2,077.88"
GCGO,"$1,565.33"
LPHGS,"$7,029.87"
BGGUP,"$8,039.05"
LOQX,"$8,266.31"
BUPV,"$9,211.92"
DRSYN,"$4,937.95"
PXTP,$258.66
ZVOY,"$9,995.71"
OTENL,"$2,781.57"
QMCJI,"$6,701.33"
ISHY,"$8,135.65"
LIIZ,"$4,041.75"
ROKE,"$3,617.80"
QTFOY,"$4,381.16"
DZPGE,"$5,508.39"
CZXLD,"$8,321.43"
YHSKM,"$4,722.20"
OJXNW,"$8,640.26"
UWIUG,$25.66
VPRWL,"$4,843.41"
OOLIE,"$6,974.98"
GUBTS,"$8,114.08"
ZUQDZ,"$1,262.47"
WWLNL,"$7,224.43"
WZBUG,"$6,232.59"
QWWWJ,"$3,166.62"
WABQX,"$9,974.25"
LCQW,"$4,436.79"
XBUHJ,"$1,455.71"
OUECW,"$6,197.10"
MPGQ,"$4,595.71"
XMHO,$738.63
ZHZRL,"$3,021.22"
WCJJH,"$6,992.79"
ZRHO,"$6,857.99"
XTVX,"$7,757.40"
PJQQ,"$6,777.64"
QXQI,"$4,408.23"
TCHTE,"$1,321.61"
NXVGV,"$4,818.48"
TICZD,"$9,664.99"
ZUJUA,"$5,365.72"
JTGJQ,"$3,714.74"
MQYI,"$6,100.82"
QMSQ,"$1,166.77"
YHMC,"$8,872.59"
KJYS,"$5,401.92"
XRVQ,"$9,390.52"
AJLYW,$993.55
OZJKE,"$1,221.60"
CFQZB,"$3,335.09"
UFVO,"$5,863.83"
IDXA,"$8,584.05"
ZOUC,"$8,664.47"
AUGI,"$1,742.47"
DKCB,"$4,482.75"
NCNYB,"$7,832.26"
LZBMK,"$6,860.97"
SLXID,"$1,261.92"
JPHNL,"$7,930.96"
WQTS,"$2,150.24"
XKVKS,"$3,125.49"
RJDXB,"$8,317.71"
LTJD,$599.82
RKWYK,"$9,158.43"
ZPJP,"$2,127.39"
